"year","age","sex","pop","deaths","mort_rx","surv_rx"
2018,0,"Female",310525,1080,0.00347194316300452,0.996528056836996
2018,0,"Male",327309,1369,0.00417386320155735,0.995826136798443
2018,1,"Female",321522,72,0.000223909838971507,0.999776090161029
2018,1,"Male",338368,85,0.00025117423956999,0.99974882576043
2018,10,"Female",337926,26,7.69369619960999e-05,0.999923063038004
2018,10,"Male",355145,29,8.16534542930711e-05,0.999918346545707
2018,11,"Female",326534,20,6.1247488852957e-05,0.999938752511147
2018,11,"Male",344574,34,9.86676959061612e-05,0.999901332304094
2018,12,"Female",321037,15,4.6722494856632e-05,0.999953277505143
2018,12,"Male",337076,32,9.49295741221981e-05,0.999905070425878
2018,13,"Female",307963,24,7.7928403279487e-05,0.999922071596721
2018,13,"Male",322996,36,0.000111450277696942,0.999888549722303
2018,14,"Female",302888,26,8.58366264885226e-05,0.999914163373511
2018,14,"Male",317980,45,0.00014150832147546,0.999858491678525
2018,15,"Female",293801,34,0.000115717893389786,0.99988428210661
2018,15,"Male",309945,61,0.0001967897462864,0.999803210253714
2018,16,"Female",288845,41,0.000141934568164076,0.999858065431836
2018,16,"Male",305110,69,0.000226122378086448,0.999773877621913
2018,17,"Female",298838,45,0.000150571922351733,0.999849428077648
2018,17,"Male",313367,104,0.000331824171476522,0.999668175828524
2018,18,"Female",305833,60,0.000196166257442057,0.999803833742558
2018,18,"Male",324403,140,0.000431468874143611,0.999568531125856
2018,19,"Female",319387,69,0.000216015515549204,0.999783984484451
2018,19,"Male",337046,146,0.000433081493478564,0.999566918506521
2018,2,"Female",331803,28,8.43838621890982e-05,0.999915616137811
2018,2,"Male",349229,43,0.000123120797250111,0.99987687920275
2018,20,"Female",325703,65,0.000199548406605973,0.999800451593394
2018,20,"Male",343991,173,0.000502793702000276,0.999497206298
2018,21,"Female",337190,72,0.00021350666911804,0.999786493330882
2018,21,"Male",357200,188,0.000526177321757432,0.999473822678243
2018,22,"Female",340570,79,0.000231937159709286,0.999768062840291
2018,22,"Male",363315,179,0.000492564071165877,0.999507435928834
2018,23,"Female",345682,63,0.000182231819121903,0.999817768180878
2018,23,"Male",364520,180,0.000493678176681934,0.999506321823318
2018,24,"Female",357841,79,0.000220744075187109,0.999779255924813
2018,24,"Male",376642,199,0.000528213642510846,0.999471786357489
2018,25,"Female",361973,107,0.000295558474310582,0.999704441525689
2018,25,"Male",377103,191,0.000506364685967733,0.999493635314032
2018,26,"Female",377446,94,0.000249011239943522,0.999750988760057
2018,26,"Male",385487,208,0.000539431677606583,0.999460568322393
2018,27,"Female",383724,101,0.000263175380334024,0.999736824619666
2018,27,"Male",397538,222,0.00055828129833094,0.999441718701669
2018,28,"Female",377887,124,0.000328086593693858,0.999671913406306
2018,28,"Male",391623,243,0.000620302263337456,0.999379697736663
2018,29,"Female",378914,119,0.00031400612443878,0.999685993875561
2018,29,"Male",384229,260,0.000676450922184728,0.999323549077815
2018,3,"Female",331559,32,9.65090854256201e-05,0.999903490914574
2018,3,"Male",349199,35,0.000100224359387371,0.999899775640613
2018,30,"Female",385662,142,0.000368130287012001,0.999631869712988
2018,30,"Male",385964,272,0.000704480704480705,0.999295519295519
2018,31,"Female",379770,127,0.000334357027487044,0.999665642972513
2018,31,"Male",372655,314,0.000842247567138397,0.999157752432862
2018,32,"Female",379553,170,0.000447795004715018,0.999552204995285
2018,32,"Male",380880,262,0.000687644188750456,0.99931235581125
2018,33,"Female",379662,160,0.000421338698379426,0.999578661301621
2018,33,"Male",380805,339,0.000889823334632633,0.999110176665367
2018,34,"Female",373224,213,0.000570540044277122,0.999429459955723
2018,34,"Male",369422,340,0.000919933331890301,0.99908006666811
2018,35,"Female",376544,208,0.000552239757014507,0.999447760242986
2018,35,"Male",370811,361,0.000973068116115868,0.999026931883884
2018,36,"Female",376552,216,0.000573461477194287,0.999426538522806
2018,36,"Male",369418,381,0.00103082044920504,0.998969179550795
2018,37,"Female",378172,277,0.000732202780520234,0.99926779721948
2018,37,"Male",372822,459,0.00123039312266537,0.998769606877335
2018,38,"Female",378447,275,0.000726390013325955,0.999273609986674
2018,38,"Male",373242,444,0.00118886960992224,0.998811130390078
2018,39,"Female",361914,284,0.000784409041695207,0.999215590958305
2018,39,"Male",359561,445,0.00123685494193036,0.99876314505807
2018,4,"Female",335065,14,4.17820647502626e-05,0.99995821793525
2018,4,"Male",352148,39,0.00011074275735268,0.999889257242647
2018,40,"Female",336944,238,0.000706099453217944,0.999293900546782
2018,40,"Male",336044,483,0.00143627958981282,0.998563720410187
2018,41,"Female",331604,293,0.000883193845977625,0.999116806154022
2018,41,"Male",329983,486,0.00147171936794801,0.998528280632052
2018,42,"Female",338908,341,0.00100566682936252,0.998994333170637
2018,42,"Male",334321,595,0.00177814436440304,0.998221855635597
2018,43,"Female",345283,391,0.00113176362639064,0.998868236373609
2018,43,"Male",340409,670,0.00196628553987744,0.998033714460123
2018,44,"Female",351339,446,0.0012686240264875,0.998731375973512
2018,44,"Male",345749,702,0.00202831551574689,0.997971684484253
2018,45,"Female",365570,508,0.00138864590622813,0.998611354093772
2018,45,"Male",360708,818,0.00226519382914679,0.997734806170853
2018,46,"Female",380534,575,0.00150989374286903,0.998490106257131
2018,46,"Male",375568,907,0.00241209611684438,0.997587903883156
2018,47,"Female",394820,659,0.00166772322880328,0.998332276771197
2018,47,"Male",384636,974,0.00252906214378264,0.997470937856217
2018,48,"Female",384788,730,0.00189535067882114,0.998104649321179
2018,48,"Male",375401,1039,0.00276388225701977,0.99723611774298
2018,49,"Female",393836,767,0.00194561659177184,0.998054383408228
2018,49,"Male",383381,1159,0.00301853966749184,0.996981460332508
2018,5,"Female",342703,35,0.000102124034016057,0.999897875965984
2018,5,"Male",360688,29,8.03986664910834e-05,0.999919601333509
2018,50,"Female",393074,804,0.00204332665778853,0.997956673342211
2018,50,"Male",382860,1231,0.00321011381431147,0.996789886185689
2018,51,"Female",396933,882,0.00221957148681091,0.997780428513189
2018,51,"Male",389406,1359,0.00348385161714547,0.996516148382855
2018,52,"Female",398868,956,0.00239391404947088,0.997606085950529
2018,52,"Male",386668,1477,0.00381253283050233,0.996187467169498
2018,53,"Female",399900,1055,0.00263468418128126,0.997365315818719
2018,53,"Male",388054,1623,0.00417367958844382,0.995826320411556
2018,54,"Female",395242,1063,0.00268587967612789,0.997314120323872
2018,54,"Male",384446,1656,0.0042982396943474,0.995701760305653
2018,55,"Female",385802,1204,0.00311590977319075,0.996884090226809
2018,55,"Male",375450,1771,0.0047059073619151,0.995294092638085
2018,56,"Female",375868,1300,0.00345269017683086,0.996547309823169
2018,56,"Male",367033,1836,0.00498979483681251,0.995010205163187
2018,57,"Female",362172,1382,0.00380859993992223,0.996191400060078
2018,57,"Male",353738,2063,0.00581504328867053,0.994184956711329
2018,58,"Female",347088,1494,0.00429513993703911,0.995704860062961
2018,58,"Male",337972,2162,0.00637658419185201,0.993623415808148
2018,59,"Female",339029,1520,0.00447336435258351,0.995526635647417
